canonical_key,hts_code,description,year,trade_type,customs_value_usd,quantity,unit_value_usd,uom,n_countries,error
cyanocobalamin,293626,Vitamin B12 and its derivatives (cobalamins),,,,,,,0,DataWeb is under maintenance (503). Retry later.
cyanocobalamin-vitamin-b12,293626,Vitamin B12 and its derivatives (cobalamins),,,,,,,0,DataWeb is under maintenance (503). Retry later.
vitamin-b12,293626,Vitamin B12 and its derivatives (cobalamins),,,,,,,0,DataWeb is under maintenance (503). Retry later.
vitamin-b12-cyanocobalamin,293626,Vitamin B12 and its derivatives (cobalamins),,,,,,,0,DataWeb is under maintenance (503). Retry later.
pyridoxine-hydrochloride-vitamin-b6,293625,Vitamin B6 (pyridoxine) and its derivatives,,,,,,,0,DataWeb is under maintenance (503). Retry later.
vitamin-b6,293625,Vitamin B6 (pyridoxine) and its derivatives,,,,,,,0,DataWeb is under maintenance (503). Retry later.
vitamin-b6-pyridoxine-hydrochloride,293625,Vitamin B6 (pyridoxine) and its derivatives,,,,,,,0,DataWeb is under maintenance (503). Retry later.
vitamin-b6-pyridoxal-5-phosphate,293625,Vitamin B6 (pyridoxine) and its derivatives,,,,,,,0,DataWeb is under maintenance (503). Retry later.
retinyl-palmitate-vitamin-a,293621,Vitamin A and its derivatives (retinoids),,,,,,,0,DataWeb is under maintenance (503). Retry later.
vitamin-a,293621,Vitamin A and its derivatives (retinoids),,,,,,,0,DataWeb is under maintenance (503). Retry later.
vitamin-a-acetate,293621,Vitamin A and its derivatives (retinoids),,,,,,,0,DataWeb is under maintenance (503). Retry later.
vitamin-a-retinyl-palmitate,293621,Vitamin A and its derivatives (retinoids),,,,,,,0,DataWeb is under maintenance (503). Retry later.
